"","sample_size_n","number_covariates_J","coefficient_k","nonnormal_covariates_1","coefficient_yonly","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"121",400,40,0.5,0,1,"glmnet",FALSE,0.169102861825515,0.987733084658022,1.0016170963792,0,0.785059892408252,0.137,0.120210971313547,1.64744379989551,0.737,0.2696,0.175,0.35
"122",400,40,0.5,0,1,"ipw.CBPS",FALSE,0.390998772257696,0.793897681100019,0.88460346734283,0,0.823028621675995,0.073,0.245142803423416,0.391999819388985,NA,NA,NA,NA
"123",400,40,0.5,0,1,"ipw.GBM",FALSE,0.838833924927723,0.682627130936472,1.08127525343934,0,0.696676763869278,0.221,0.454319,0.578,NA,NA,NA,NA
"124",400,40,0.5,0,1,"lslx",FALSE,0.263460366340659,0.986569103127727,1.02066480358801,0,0.757925486422219,0.163,0.0974550399772178,1.64744379989551,0.62,0.1775,0.1,0.25
"125",400,40,0.5,0,1,"none",FALSE,1.35127806495528,0.669919332532351,1.50807676496185,0,0.664931636897174,0.532,NA,NA,NA,NA,NA,NA
"126",400,40,0.5,0,1,"pred.treat",FALSE,-0.0565170808718714,0.99395445799874,0.995063666074323,0,0.951528255524037,0.044,0.148027003005853,1.42053119849125,1,0.1,0.1,0.1
"127",400,40,0.5,0,1,"regsem",FALSE,1.04291140954516,0.911125565280753,1.38455186037647,0,0.681278747584563,0.417,0.0513455040767678,1.6580516611127,0.126,0.034325,0,0.05
"128",400,40,0.5,0,1,"stability_mle",TRUE,-0.0648463937843413,1.02190388179941,1.02344922242381,0,0.952882408427821,0.066,0.217596495006298,1.57641060562155,0.999,0.4498,0.25,0.625
"129",400,40,0.5,0,1,"target",FALSE,-0.0377072802532215,0.829269234082438,0.829711765685635,0,0.80376116273267,0.053,0.102441429931202,1.61080588790643,NA,NA,NA,NA
"130",400,40,0.5,0,1,"unwanted.only",FALSE,1.44101881773418,0.690578879876252,1.59779771035191,0,0.69012823044617,0.55,0.0164259941596226,0.107241320227672,NA,NA,NA,NA
"131",400,40,0.5,0,1.5,"glmnet",FALSE,0.369863878740528,1.17230624027847,1.22870944810881,0,0.957286543544969,0.154,0.0978611918583185,0.985627064203564,0.5,0.25955,0.15,0.35
"132",400,40,0.5,0,1.5,"ipw.CBPS",FALSE,0.497825749649569,0.983314651126526,1.10171288112244,0,1.03833537045211,0.066,0.246961323550825,0.381526166675139,NA,NA,NA,NA
"133",400,40,0.5,0,1.5,"ipw.GBM",FALSE,0.891918607059414,0.858980698532361,1.23799385872043,0,0.88634571460247,0.171,0.454622,0.598,NA,NA,NA,NA
"134",400,40,0.5,0,1.5,"lslx",FALSE,0.530297954436681,1.16700922295667,1.2813135979998,0,0.906985895219906,0.197,0.064752882907179,0.515396279401292,0.354,0.157525,0.075,0.225
"135",400,40,0.5,0,1.5,"none",FALSE,1.39705546989911,0.838537295396736,1.62917329862435,0,0.846360127142062,0.393,NA,NA,NA,NA,NA,NA
"136",400,40,0.5,0,1.5,"pred.treat",FALSE,-0.00542185389909096,1.21816151503532,1.21756435383767,0,1.19946306387452,0.057,0.147730875789374,1.21567665162911,1,0.1,0.1,0.1
"137",400,40,0.5,0,1.5,"regsem",FALSE,1.19849962308122,0.967834556373349,1.54018452508383,0,0.84707622081182,0.351,0.0260488876088834,0.285330682537815,0.05,0.039225,0,0.075
"138",400,40,0.5,0,1.5,"stability_mle",TRUE,0.0480294476297188,1.30136794832762,1.30160355186867,0,1.21092841596903,0.067,0.220653587798666,1.94483052048236,1,0.4806,0.275,0.65
"139",400,40,0.5,0,1.5,"target",FALSE,0.0226678799215596,1.04843898660234,1.04815977651275,0,1.02512326131087,0.057,0.105956572015108,1.19673773586089,NA,NA,NA,NA
"140",400,40,0.5,0,1.5,"unwanted.only",FALSE,1.47666780588482,0.856079463328248,1.70665959828594,0,0.877153893024533,0.408,0.0160231410413879,0.123710406200843,NA,NA,NA,NA
"141",400,40,0.5,1,1,"glmnet",FALSE,0.379391608552683,5.77221170987288,5.78178584766076,0,1.33809512025996,0.14,0.108038565084425,8.92238835553473,0.271,0.15685,0.01875,0.275
"142",400,40,0.5,1,1,"ipw.CBPS",FALSE,0.367981481262937,1.39553466210326,1.4425601709083,0,1.31005489702754,0.074,0.222749182929822,1.11646789047248,NA,NA,NA,NA
"143",400,40,0.5,1,1,"ipw.GBM",FALSE,0.744342805526882,1.18286878665446,1.39707752111849,0,1.13162506790639,0.113,0.422142,0.562,NA,NA,NA,NA
"144",400,40,0.5,1,1,"lslx",FALSE,0.693445707163673,4.09433193743991,4.15062132803153,0,1.2400399031251,0.17,0.0819863736814971,8.73936259145934,0.122,0.058375,0,0.1
