"","sample_size_n","number_covariates_J","coefficient_k","binary_covariates_1","number_unwanted_inS3","collider_bias_1","binary_treatment_1","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"110",400,20,0.5,1,4,1,1,"stability_mle.mle",TRUE,-0.0208860868770123,0.323048132710159,0.32356137683059,0,0.311880423046642,0.057,0.0476336097770067,0.439359480869802,0.942,0.612,0.4,0.85
"111",400,20,0.5,1,4,1,1,"target.mle",FALSE,-0.010203418182,0.317284245280047,0.31728966694997,0,0.310118496770985,0.06,0.0290580125587745,0.304826297238721,NA,NA,NA,NA
"112",400,20,0.5,1,4,1,1,"unwanted.only.mle",FALSE,0.141490607062573,0.311757662635969,0.342221038597813,0,0.306737905310563,0.08,0.00433707080341015,0.0279546799963291,NA,NA,NA,NA
"113",400,20,1,0,2,0,1,"SignifReg.mle",FALSE,0.176891264074821,0.791230527804437,0.810376592509647,0,0.715360140377374,0.089,0.0526652840602217,0.487682443703741,0.624,0.1748,0.15,0.2
"114",400,20,1,0,2,0,1,"all.ipw.CBPS",FALSE,0.293532094498208,0.901442763054563,0.947600942648796,0,0.887301752872145,0.065,0.217679615734806,0.487702468422602,NA,NA,NA,NA
"115",400,20,1,0,2,0,1,"all.ipw.GBM",FALSE,0.816994428956779,0.717865088118072,1.0873338270285,0,0.7015672416988,0.231,0.460427,0.596,NA,NA,NA,NA
"116",400,20,1,0,2,0,1,"glmnet.DS.mle",TRUE,-0.0600964872784752,1.36106106881883,1.36170713944093,0,1.11557457225129,0.078,0.268054629609929,1.68875855834077,1,0.6324,0.5,0.7625
"117",400,20,1,0,2,0,1,"glmnet.mle",FALSE,0.113315374121828,1.02169091317128,1.02744773285413,0,0.825093883872077,0.096,0.124722810839711,1.21673715686485,0.868,0.44725,0.3,0.55
"118",400,20,1,0,2,0,1,"lslx.mle",FALSE,0.16428306241921,0.881954508992074,0.896691048674711,0,0.752279031417509,0.116,0.0864012646843859,0.621911427575165,0.762,0.30905,0.2,0.4
"119",400,20,1,0,2,0,1,"none.mle",FALSE,1.20203089222734,0.680555117693832,1.38114821030181,0,0.664676457651015,0.439,NA,NA,NA,NA,NA,NA
