"","sample_size_n","number_covariates_J","coefficient_k","binary_covariates_1","number_unwanted_inS3","collider_bias_1","binary_treatment_1","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","confounders","total","total.lo","total.up"
"150",400,20,1.6,0,2,1,0,"unwanted.only",FALSE,1.23659912026404,0.361431879469468,1.28828558741109,0,0.355094739629881,0.934,NA,NA,NA,NA
"151",400,20,1.6,0,4,0,0,"SignifReg",FALSE,0.0872967033056051,0.384795274230577,0.39438566159933,0,0.344744042809643,0.07,0.626,0.17715,0.15,0.2
"152",400,20,1.6,0,4,0,0,"SignifReg.DS",TRUE,-0.185382773088917,2.32230723492628,2.32853699885909,0,2.24033843166226,0.058,1,0.406,0.4,0.45
"153",400,20,1.6,0,4,0,0,"glmnet",FALSE,0.212834275624492,0.520852786138051,0.562418675084269,0,0.420490885818951,0.11,0.853,0.45305,0.3,0.55
"154",400,20,1.6,0,4,0,0,"glmnet.DS",TRUE,-0.191471820670305,2.3492763202628,2.3558950714812,0,2.23887131371727,0.065,1,0.7902,0.7,0.9
"155",400,20,1.6,0,4,0,0,"lslx",FALSE,0.194328886825098,0.442840834118297,0.483400054419637,0,0.359785412413347,0.148,0.684,0.25615,0.2,0.35
"156",400,20,1.6,0,4,0,0,"lslx.DS",TRUE,-0.190664059696365,2.3575609373867,2.36408296461398,0,2.25288127232569,0.062,1,0.81525,0.55,1
"157",400,20,1.6,0,4,0,0,"none",FALSE,0.563993013046737,0.34068925025918,0.658818043804552,0,0.331810349222998,0.431,NA,NA,NA,NA
"158",400,20,1.6,0,4,0,0,"post_lslx",FALSE,0.184290563357038,0.450174788465561,0.486228027341388,0,0.36474872361318,0.142,NA,NA,NA,NA
"159",400,20,1.6,0,4,0,0,"post_lslx.DS",TRUE,0.288210678284931,0.471477873591029,0.552389798039475,0,0.359470370046825,0.226,NA,NA,NA,NA
"160",400,20,1.6,0,4,0,0,"regsem",FALSE,0.361071430010583,0.449145627328613,0.576109920348324,0,0.346283212878168,0.288,0.311,0.132,0,0.25
"161",400,20,1.6,0,4,0,0,"regsem.DS",TRUE,-0.187275963296686,2.35798924836497,2.36423887721569,0,2.29293148078754,0.057,1,0.46635,0.4,0.5
"162",400,20,1.6,0,4,0,0,"rlassoEffect.ds",TRUE,-0.189091375862638,2.34080220248734,2.3472603487138,0,2.2836386904112,0.056,NA,NA,NA,NA
